"CloseDate","ClosePrice","Ret1D","Var","VarL1","VarL2","VarL3","VarL4","VarL5"
2017-03-21,1.0813,0.00649473427899461,4.21815733547476e-05,7.79596884094011e-08,7.02029244783109e-07,0.000104115341745361,1.61143608113747e-06,5.07502551857892e-06
2017-03-22,1.0804,-0.000832678033030818,6.93352706692071e-07,4.21815733547476e-05,7.79596884094011e-08,7.02029244783109e-07,0.000104115341745361,1.61143608113747e-06
2017-03-23,1.07825,-0.00199198639050807,3.96800977996937e-06,6.93352706692071e-07,4.21815733547476e-05,7.79596884094011e-08,7.02029244783109e-07,0.000104115341745361
2017-03-24,1.08095,0.00250092757252103,6.25463872299593e-06,3.96800977996937e-06,6.93352706692071e-07,4.21815733547476e-05,7.79596884094011e-08,7.02029244783109e-07
2017-03-27,1.0883,0.00677656160154252,4.59217871395006e-05,6.25463872299593e-06,3.96800977996937e-06,6.93352706692071e-07,4.21815733547476e-05,7.79596884094011e-08
2017-03-28,1.086,-0.00211562420813519,4.47586579004763e-06,4.59217871395006e-05,6.25463872299593e-06,3.96800977996937e-06,6.93352706692071e-07,4.21815733547476e-05
2017-03-29,1.0759,-0.00934370089401727,8.73047463968592e-05,4.47586579004763e-06,4.59217871395006e-05,6.25463872299593e-06,3.96800977996937e-06,6.93352706692071e-07
2017-03-30,1.07285,-0.00283886170877339,8.05913580153975e-06,8.73047463968592e-05,4.47586579004763e-06,4.59217871395006e-05,6.25463872299593e-06,3.96800977996937e-06
2017-03-31,1.0694,-0.00322091537645906,1.03742958623104e-05,8.05913580153975e-06,8.73047463968592e-05,4.47586579004763e-06,4.59217871395006e-05,6.25463872299593e-06
2017-04-03,1.06535,-0.00379435986325566,1.43971667718855e-05,1.03742958623104e-05,8.05913580153975e-06,8.73047463968592e-05,4.47586579004763e-06,4.59217871395006e-05
2017-04-04,1.0665,0.00107887526002982,1.16397182670442e-06,1.43971667718855e-05,1.03742958623104e-05,8.05913580153975e-06,8.73047463968592e-05,4.47586579004763e-06
2017-04-05,1.06635,-0.000140656867803554,1.97843544603065e-08,1.16397182670442e-06,1.43971667718855e-05,1.03742958623104e-05,8.05913580153975e-06,8.73047463968592e-05
2017-04-06,1.06525,-0.00103208866358027,1.06520700949092e-06,1.97843544603065e-08,1.16397182670442e-06,1.43971667718855e-05,1.03742958623104e-05,8.05913580153975e-06
2017-04-07,1.0617,-0.00333811636049397,1.11430208361975e-05,1.06520700949092e-06,1.97843544603065e-08,1.16397182670442e-06,1.43971667718855e-05,1.03742958623104e-05
2017-04-10,1.06025,-0.00136666766482745,1.86778050608492e-06,1.11430208361975e-05,1.06520700949092e-06,1.97843544603065e-08,1.16397182670442e-06,1.43971667718855e-05
2017-04-11,1.0622,0.0018374996335988,3.37640490347572e-06,1.86778050608492e-06,1.11430208361975e-05,1.06520700949092e-06,1.97843544603065e-08,1.16397182670442e-06
2017-04-12,1.0616,-0.000565024970300969,3.19253217063611e-07,3.37640490347572e-06,1.86778050608492e-06,1.11430208361975e-05,1.06520700949092e-06,1.97843544603065e-08
